id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,jumlah_penduduk_miskin,persentase_penduduk_miskin,tingkat_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan
160,32,JAWA BARAT,KOTA CIMAHI,586580,34100,5.84,7.71,17876000000    ,13.73,2015,35.11335138,TIDAK SEJAHTERA
161,32,JAWA BARAT,KOTA TASIKMALAYA,657477,106800,16.28,6.93,12371000000    ,13.37,2015,51.07368448,CUKUP SEJAHTERA
162,32,JAWA BARAT,KOTA BANJAR,181425,13400,7.41,4.92,2624000000    ,12.95,2015,38.44766595,TIDAK SEJAHTERA
163,32,JAWA BARAT,BOGOR,5587390,490800,8.83,6.88,131760000000    ,12.05,2016,31.46875164,TIDAK SEJAHTERA
164,32,JAWA BARAT,SUKABUMI,2444620,198700,8.13,13.32,39447000000    ,12.18,2016,34.90723001,TIDAK SEJAHTERA
165,32,JAWA BARAT,CIANJUR,2250980,261400,11.62,4.47,26981000000    ,11.88,2016,43.60866815,CUKUP SEJAHTERA
166,32,JAWA BARAT,BANDUNG,3596620,272700,7.61,7.51,68805000000    ,12.42,2016,30.97750945,TIDAK SEJAHTERA
167,32,JAWA BARAT,GARUT,2569500,298500,11.64,8.01,33804000000    ,11.69,2016,43.5914131,CUKUP SEJAHTERA
168,32,JAWA BARAT,TASIKMALAYA,1742280,195600,11.24,6.74,20825000000    ,12.46,2016,42.87330042,CUKUP SEJAHTERA
169,32,JAWA BARAT,CIAMIS,1175390,98800,8.42,7.83,18845000000    ,13.65,2016,37.93320937,TIDAK SEJAHTERA
170,32,JAWA BARAT,KUNINGAN,1061890,144100,13.59,11.1,13978000000    ,12.04,2016,47.25018722,CUKUP SEJAHTERA
171,32,JAWA BARAT,CIREBON,2143000,288500,13.49,6.79,29149000000    ,12.03,2016,47.95706721,CUKUP SEJAHTERA
172,32,JAWA BARAT,MAJALENGKA,1188000,152500,12.85,8.15,17592000000    ,11.89,2016,46.01169765,CUKUP SEJAHTERA
173,32,JAWA BARAT,SUMEDANG,1142100,120600,10.57,9.48,20030000000    ,12.91,2016,41.87623688,CUKUP SEJAHTERA
174,32,JAWA BARAT,INDRAMAYU,1700810,237000,13.95,11.64,56706000000    ,12.2,2016,48.56964132,CUKUP SEJAHTERA
175,32,JAWA BARAT,SUBANG,1546000,170400,11.05,8.05,24977000000    ,11.66,2016,42.54712033,CUKUP SEJAHTERA
176,32,JAWA BARAT,PURWAKARTA,932701,83600,8.98,11.02,40170000000    ,11.82,2016,39.32484302,TIDAK SEJAHTERA
177,32,JAWA BARAT,KARAWANG,2295780,230600,10.07,9.36,141126000000    ,11.85,2016,39.84617372,TIDAK SEJAHTERA
178,32,JAWA BARAT,BEKASI,3371690,164400,4.92,8.44,215928000000    ,12.23,2016,23.46067348,TIDAK SEJAHTERA
179,32,JAWA BARAT,BANDUNG BARAT,1648390,192500,11.71,9.62,26926000000    ,11.56,2016,43.86296338,CUKUP SEJAHTERA
180,32,JAWA BARAT,PANGANDARAN,392817,40100,10.23,5.38,6603000000    ,12.02,2016,41.91831095,CUKUP SEJAHTERA
181,32,JAWA BARAT,KOTA BOGOR,1064690,77300,7.29,7.38,27002000000    ,13.01,2016,36.1336393,TIDAK SEJAHTERA
182,32,JAWA BARAT,KOTA SUKABUMI,321097,27500,8.59,10.01,7379000000    ,13.38,2016,39.72688082,TIDAK SEJAHTERA
183,32,JAWA BARAT,KOTA BANDUNG,2490620,107600,4.32,10.05,161228000000    ,13.89,2016,25.25202828,TIDAK SEJAHTERA
184,32,JAWA BARAT,KOTA CIREBON,310486,30200,9.73,10.06,14077000000    ,13.07,2016,41.30960926,CUKUP SEJAHTERA
185,32,JAWA BARAT,KOTA BEKASI,2787210,140000,5.06,4.03,58831000000    ,13.47,2016,25.99372882,TIDAK SEJAHTERA
186,32,JAWA BARAT,KOTA DEPOK,2179810,50600,2.34,6.5,40263000000    ,13.86,2016,21.81440063,TIDAK SEJAHTERA
187,32,JAWA BARAT,KOTA CIMAHI,594021,35100,5.92,8.51,18882000000    ,13.75,2016,35.20343215,TIDAK SEJAHTERA
188,32,JAWA BARAT,KOTA TASIKMALAYA,659606,102800,15.6,6.99,13225000000    ,13.4,2016,50.01815767,CUKUP SEJAHTERA
